PDB,SET,pK
1qng,Train,7.89
1qnh,Train,6.06
1qon,Train,8.96
1qq9,Train,2.06
1qsc,Train,3.68
1qvt,Train,4.38
1qvu,Train,4.46
1qw7,Train,3.6
1qx1,Train,2.12
1qxk,Train,5.05
1qxl,Train,7.96
1qy1,Train,6.52
1qy2,Train,5.74
1qyg,Train,6.85
1r0p,Train,8.0
1r0x,Train,3.83
1r10,Train,3.83
1r17,Train,6.42
1r1h,Train,8.92
1r1i,Train,8.54
1r1j,Train,8.64
1r2b,Train,4.94
1r4w,Train,4.05
1r5n,Train,5.42
1r5v,Train,4.48
1r5w,Train,5.54
1r5y,Test,6.46
1r6n,Train,7.4
1r9l,Train,5.4
1rbp,Train,6.72
1rd4,Train,7.74
1rdi,Train,2.06
1rdl,Train,2.24
1rdt,Train,6.7
1re8,Train,9.52
1rej,Train,8.3
1rek,Train,6.7
1rev,Train,7.48
1rgk,Train,4.31
1rgl,Train,4.43
1rin,Train,3.15
1rjk,Train,10.0
1rm8,Train,9.0
1rmz,Train,8.0
1rnm,Train,3.07
1rnt,Train,5.19
1ro6,Train,6.46
1ro7,Train,3.18
1rp7,Train,8.52
1rpa,Train,6.0
1rpf,Train,3.99
1rpj,Train,6.48
1rql,Train,2.75
1rr6,Train,10.25
1rst,Train,4.43
1rt9,Train,10.25
1rtf,Train,3.04
1ru1,Train,4.74
1ru2,Train,6.49
1ryf,Train,8.8
1ryh,Train,7.56
1rzx,Train,4.1
1s19,Train,9.51
1s26,Train,3.07
1s38,Test,5.15
1s39,Train,7.7
1s3k,Train,6.62
1s4d,Train,6.49
1s50,Train,7.2
1s5z,Train,3.21
1s63,Train,9.05
1s64,Train,8.4
1s89,Train,5.24
1sb1,Train,6.89
1sbg,Train,7.74
1sbr,Train,5.0
1sc8,Train,7.44
1sdt,Train,9.27
1sdu,Train,10.07
1sdv,Train,8.74
1sfi,Train,10.0
1sgu,Train,5.37
1sh9,Train,6.03
1siv,Train,8.08
1sje,Train,8.22
1sjh,Train,8.05
1sl3,Train,11.85
1sld,Train,6.57
1sle,Train,6.17
1slg,Train,3.9
1sln,Train,6.64
1sm3,Train,4.62
1sme,Train,11.22
1sps,Train,8.52
1sqa,Test,9.21
1sqc,Train,6.85
1sqn,Train,9.4
1sqo,Train,7.46
1sqq,Train,7.82
1sqt,Train,6.2
1sr7,Train,10.1
1srg,Train,5.3
1sri,Train,6.08
1ssq,Train,6.0
1stc,Train,8.1
1std,Train,10.33
1str,Train,4.77
1sts,Train,5.0
1sv3,Train,4.35
1sw1,Train,7.3
1sw2,Train,7.22
1swg,Train,7.36
1swi,Train,3.1
1swr,Train,6.92
1syh,Train,6.41
1syi,Test,5.44
1szd,Train,4.54
1t08,Train,5.51
1t13,Train,7.38
1t29,Train,6.05
1t31,Train,8.64
1t32,Train,7.42
1t37,Train,4.35
1t3t,Train,4.96
1t4e,Train,7.1
1t4s,Train,2.44
1t4v,Train,7.68
1t5a,Train,4.62
1t5f,Train,4.22
1t69,Train,6.32
1t79,Train,6.04
1t7d,Train,6.03
1t7f,Train,5.74
1t7j,Train,8.7
1t7r,Train,5.96
1ta2,Train,8.52
1ta6,Train,9.13
1tcw,Train,6.02
1tcx,Train,6.95
1td7,Train,4.37
1tet,Train,6.08
1thl,Train,6.42
1thz,Train,5.15
1tjp,Train,4.42
1tka,Train,6.1
1tkb,Train,8.0
1tkc,Train,4.85
1tl7,Train,7.92
1tlp,Train,7.55
1tmm,Train,6.64
1tmn,Train,7.3
1tng,Train,2.93
1tnh,Train,3.37
1tni,Train,4.0
1tog,Train,3.22
1toi,Train,4.05
1toj,Train,3.39
1tok,Train,2.47
1tom,Train,8.3
1tpw,Train,3.3
1tpz,Train,6.19
1tq4,Train,6.19
1tr7,Train,6.82
1trd,Train,5.4
1tsi,Train,3.48
1tsl,Train,6.15
1tsm,Train,6.0
1tsv,Train,4.8
1tsy,Train,4.96
1ttm,Train,7.35
1tuf,Train,4.05
1tvo,Train,6.85
1tx7,Train,4.6
1txr,Train,7.74
1tyr,Train,7.0
1tys,Train,5.49
1u0g,Train,6.15
1u0h,Train,6.96
1u1b,Test,7.8
1u1w,Train,5.85
1u2r,Train,5.41
1u33,Train,4.6
1u65,Train,7.58
1u6q,Train,5.88
1u71,Train,7.48
1u8t,Train,4.26
1u9l,Train,5.02
1ua4,Train,4.22
1ucn,Train,5.22
1udt,Train,9.3
1udu,Train,9.05
1uef,Train,5.49
1ugp,Train,2.89
1ugw,Train,3.09
1ugx,Train,5.91
1ugy,Train,3.72
1uh1,Train,5.48
1uho,Train,9.22
1ui0,Train,7.06
1uj0,Train,4.57
1uj5,Train,3.05
1uj6,Train,3.05
1ujj,Train,6.1
1ujk,Train,6.57
1ukh,Train,6.38
1ule,Train,5.92
1ulg,Train,4.21
1uml,Train,7.52
1umw,Train,6.55
1uou,Train,7.7
1upf,Train,4.6
1upk,Train,6.4
1ur9,Train,5.77
1urg,Train,5.82
1usi,Train,6.74
1usk,Train,6.4
1usn,Train,7.74
1utc,Train,4.55
1uti,Train,5.62
1utj,Train,3.84
1utl,Train,2.47
1utm,Train,3.01
1utn,Train,3.49
1uto,Test,2.27
1uv6,Train,5.12
1uvs,Train,5.4
1uvt,Train,7.64
1uvu,Train,5.0
1uw6,Train,7.34
1uwf,Train,6.82
1uwt,Train,5.97
1uwu,Train,5.98
1ux7,Train,3.0
1uxa,Train,2.3
1uxb,Train,2.15
1uys,Train,3.6
1uz1,Train,6.89
1uz4,Train,3.4
1uz8,Train,4.96
1v0k,Train,5.1
1v0l,Train,7.55
1v0m,Train,5.1
1v0n,Train,7.55
1v11,Train,3.98
1v16,Train,3.87
1v1j,Train,4.82
1v1m,Train,3.94
1v2j,Train,3.25
1v2k,Train,6.19
1v2l,Train,4.29
1v2m,Train,4.29
1v2n,Train,5.9
1v2o,Train,4.73
1v2p,Train,4.73
1v2q,Train,4.13
1v2r,Train,3.55
1v2s,Train,4.17
1v2t,Train,4.71
1v2u,Train,3.37
1v2v,Train,3.37
1v2w,Train,4.01
1v41,Train,4.7
1v48,Train,7.8
1v79,Train,7.89
1v7a,Train,8.01
1vcu,Train,3.85
1vea,Train,7.52
1vfn,Train,5.6
1vj9,Train,7.55
1vja,Train,7.7
1vjc,Train,3.58
1vjd,Train,3.54
1vkj,Train,4.85
1vot,Train,6.6
1vr1,Train,6.89
1vso,Test,4.72
1vwf,Train,6.51
1vwl,Train,5.63
1vwn,Train,5.82
1vyf,Train,8.05
1vyg,Train,8.0
1vyj,Train,7.0
1vyq,Train,5.3
1vzq,Train,7.44
1w0y,Train,6.42
1w0z,Train,7.68
1w11,Train,8.22
1w13,Train,8.7
1w1d,Train,6.52
1w1g,Train,7.68
1w25,Train,6.3
1w2g,Train,4.57
1w2h,Train,5.0
1w2k,Train,6.46
1w2x,Train,5.14
1w3j,Train,6.32
1w3k,Train,4.3
1w3l,Train,6.28
1w4o,Test,5.22
1w4p,Train,4.74
1w4q,Train,5.26
1w5v,Train,8.15
1w5w,Train,8.8
1w5x,Train,8.4
1w5y,Train,8.48
1w6h,Train,9.3
1w6y,Train,5.36
1w70,Train,3.7
1w7g,Train,5.1
1w7x,Train,8.4
1w80,Train,4.54
1w96,Train,8.41
1w9u,Train,6.09
1w9v,Train,6.34
1wc1,Train,4.0
1wc6,Train,4.0
1wcq,Train,6.26
1wdn,Train,6.3
1wdr,Train,2.52
1we2,Train,4.36
1wht,Train,3.7
1wm1,Train,6.3
1wn6,Train,4.68
1ws1,Train,9.55
1ws4,Train,3.0
1ws5,Train,3.03
1wuq,Train,8.27
1wur,Train,6.66
1wvc,Train,4.46
1wvj,Train,6.73
1x07,Train,3.28
1x11,Train,6.49
1x1z,Train,11.06
1x38,Train,8.77
1x39,Train,9.22
1x6u,Train,3.22
1x7a,Train,7.89
1x8d,Train,2.21
1x8j,Train,6.96
1x8r,Train,6.12
1x8s,Train,5.1
1x8t,Train,7.8
1x9d,Train,3.96
1xa5,Train,6.5
1xap,Train,8.7
1xb7,Train,6.22
1xbb,Train,5.3
1xbo,Train,6.04
1xd0,Train,7.12
1xff,Train,4.82
1xge,Train,4.68
1xgi,Train,4.85
1xgj,Train,6.0
1xh4,Train,7.47
1xh5,Train,5.47
1xh6,Train,7.32
1xh7,Train,6.82
1xh9,Train,7.77
1xhy,Train,6.18
1xjd,Train,9.48
1xk5,Train,6.0
1xk9,Train,6.85
1xka,Train,6.88
1xkk,Train,8.52
1xn2,Train,10.52
1xn3,Train,7.4
1xnx,Train,6.38
1xow,Train,9.28
1xpz,Train,7.08
1xq0,Train,6.34
1xr8,Train,6.7
1xr9,Train,7.15
1xs7,Train,7.6
1xt3,Train,5.7
1xt8,Train,6.85
1xug,Train,7.05
1xws,Train,8.0
1xz8,Train,4.52
1xzx,Train,10.22
1y0l,Train,9.0
1y1z,Train,3.08
1y20,Train,5.32
1y2a,Train,7.34
1y2f,Train,4.92
1y2g,Train,4.08
1y3a,Train,5.41
1y3n,Train,5.55
1y3p,Train,4.82
1y3v,Train,5.64
1y3w,Train,5.77
1y3x,Train,5.14
1y3y,Train,5.64
1y4z,Train,7.24
1y6q,Train,11.7
1y6r,Test,10.11
1y8o,Train,5.89
1y8p,Train,6.08
1y98,Train,5.43
1ybg,Train,4.8
1ybo,Train,3.8
1yc1,Test,6.17
1yc4,Train,6.55
1yci,Train,4.08
1yda,Train,6.55
1ydb,Train,8.24
1ydd,Train,7.07
1ydk,Train,5.89
1ydr,Test,5.52
1yds,Train,5.92
1ydt,Test,7.32
1yei,Train,7.46
1yej,Train,7.46
1yet,Train,5.92
1yfz,Train,4.35
1yid,Train,5.0
1ykp,Train,2.96
1yon,Train,4.21
1yp9,Train,5.11
1ype,Train,8.1
1ypg,Train,8.0
1ypj,Train,7.02
1yq7,Train,7.09
1yqj,Train,8.14
1yqy,Train,7.62
1yvh,Train,7.37
1yvm,Train,6.4
1ywh,Train,7.79
1yxd,Train,5.3
1yy6,Train,6.07
1yyr,Train,6.29
1yys,Train,6.33
1yz3,Train,8.81
1z1h,Train,8.4
1z1r,Train,9.22
1z3t,Train,3.94
1z3v,Train,4.11
1z4n,Train,4.52
1z4o,Train,4.52
1z6d,Train,2.34
1z6e,Test,9.72
1z6s,Train,4.34
1z71,Train,9.18
1z95,Test,7.12
1z9g,Test,5.64
1z9y,Train,7.19
1zc9,Train,3.22
1zdp,Train,5.74
1ze8,Train,7.68
1zea,Train,5.22
1zfk,Train,7.92
1zfq,Train,7.52
1zge,Train,7.3
1zgi,Train,5.34
1zhk,Train,4.45
1zhl,Train,5.0
1zhy,Train,6.52
1zkk,Train,4.48
1zky,Train,6.25
1zm6,Train,4.35
1zoe,Train,7.4
1zog,Train,7.15
1zoh,Train,7.0
1zp8,Train,8.77
1zpa,Train,8.4
1zs0,Train,6.15
1zsf,Train,9.92
1zsh,Train,7.07
1zsr,Train,9.82
1zvx,Train,9.22
1zxv,Train,6.1
1zyr,Train,5.74
220l,Train,3.4
223l,Train,3.4
2a14,Train,5.7
2a25,Train,4.62
2a2g,Train,7.0
2a3c,Train,4.43
2a4m,Train,4.52
2a4w,Train,8.29
2a58,Train,4.92
2a5b,Train,3.93
2a5c,Train,4.62
2a5s,Train,6.7
2a8g,Train,3.69
2aa6,Train,9.41
2aac,Train,2.22
2ad5,Train,3.96
2adm,Train,5.7
2adu,Train,7.74
2ael,Train,6.29
2afw,Train,4.77
2afx,Train,5.15
2agv,Train,7.7
2aj8,Train,6.2
2al5,Test,8.4
2am4,Train,3.72
2amt,Train,4.44
2amv,Train,8.8
2an5,Train,5.68
2ans,Train,5.92
2ao6,Train,9.28
2aoc,Train,4.89
2aod,Train,5.66
2aoe,Train,7.62
2aof,Train,4.55
2aog,Train,6.28
2aoh,Train,4.44
2aoi,Train,4.01
2aoj,Train,4.66
2aou,Train,7.73
2aov,Train,7.04
2aow,Train,7.42
2aq9,Train,7.3
2aqu,Train,9.32
2arm,Train,7.68
2asu,Train,9.0
2ate,Train,7.07
2avm,Train,5.7
2avo,Train,8.85
2avq,Train,4.39
2avs,Train,7.57
2avv,Train,9.26
2aw1,Train,7.37
2ax6,Train,7.57
2ax9,Train,9.52
2ay1,Train,2.29
2ay3,Train,3.55
2ay4,Train,2.91
2ay5,Train,2.59
2ay6,Train,3.11
2ay7,Train,2.3
2ay8,Train,2.24
2ay9,Train,2.16
2ayr,Train,9.29
2az5,Train,5.27
2azm,Train,5.66
2azr,Train,3.64
2b07,Train,6.43
2b17,Train,6.21
2b1g,Train,6.64
2b1i,Train,6.82
2b1v,Train,5.74
2b2v,Train,4.77
2b4l,Train,4.77
2b4m,Train,3.53
2b7d,Train,8.7
2b7f,Train,7.3
2b9a,Train,8.05
2baj,Train,8.4
2bak,Train,7.43
2bal,Train,6.31
2bba,Train,7.15
2bes,Train,4.24
2bet,Train,2.77
2bfq,Train,6.89
2bfr,Train,5.25
2bgr,Train,3.6
2bj4,Train,4.47
2bjm,Train,3.7
2bmg,Train,7.74
2bmk,Train,5.62
2bmv,Train,2.0
2bmz,Train,3.7
2bo4,Train,4.61
2boh,Train,8.52
2boj,Train,5.77
2bok,Train,6.55
2bpv,Train,7.67
2bpx,Train,9.4
2bpy,Train,7.4
2bq6,Train,10.15
2bq7,Train,7.05
2bqv,Train,8.05
2bqw,Train,8.52
2br1,Test,5.14
2br6,Train,2.96
2br8,Train,7.49
2brb,Test,4.86
2brm,Train,5.89
2bt9,Train,6.19
2buv,Train,4.0
2bvd,Train,6.0
2bvr,Train,3.7
2bvs,Train,4.1
2bxt,Train,8.52
2bxu,Train,7.15
2byp,Train,9.06
2byr,Train,8.55
2bys,Train,9.52
2bz6,Train,7.09
2bz8,Train,5.6
2bza,Train,2.8
2bzz,Train,6.43
2c02,Train,4.04
2c1n,Train,4.11
2c1p,Train,5.4
2c3i,Test,7.6
2c3j,Train,6.18
2c3k,Train,7.59
2c3l,Train,5.07
2c4v,Train,2.6
2c4w,Train,4.7
2c6n,Train,6.88
2c6o,Train,8.22
2c80,Train,5.33
2c92,Train,5.68
2c94,Train,6.82
2c97,Train,6.14
2c9b,Train,5.54
2c9d,Train,6.32
2ca8,Train,4.66
2cbj,Train,8.27
2cbu,Train,5.68
2cbv,Test,5.48
2cbz,Train,3.93
2cc7,Train,8.01
2ccb,Train,7.45
2ccc,Train,7.76
2ce9,Train,6.03
2cej,Train,8.62
2cem,Train,7.92
2cen,Train,8.3
2ceo,Train,10.0
2ceq,Train,7.28
2cer,Train,9.22
2ces,Train,7.25
2cet,Test,8.02
2cex,Train,4.7
2cf8,Train,8.1
2cf9,Train,7.82
2cgf,Train,6.41
2cgr,Train,7.28
2cht,Train,5.52
2ci9,Train,7.22
2cia,Train,6.43
2cji,Train,8.22
2cle,Train,3.55
2clf,Train,3.55
2clh,Train,4.06
2cli,Train,4.3
2clk,Train,3.79
2cll,Train,4.3
2clm,Train,3.55
2clo,Train,4.06
2clv,Train,7.88
2cmo,Train,6.4
2cn0,Train,7.66
2co0,Train,5.48
2csm,Train,4.3
2csn,Train,4.41
2ctc,Train,3.89
2cvd,Train,6.1
2d06,Train,4.08
2d0k,Train,5.02
2d1n,Train,8.15
2d1o,Train,7.7
2d3u,Train,6.92
2d3z,Train,6.64
2d41,Train,6.82
2df6,Train,5.98
2doo,Train,7.17
2drc,Train,9.89
2dri,Train,6.89
2dua,Train,4.77
2dw7,Train,4.7
2dwx,Train,3.74
2e1w,Train,7.96
2e27,Train,9.35
2e2p,Train,4.74
2e2r,Train,8.26
2e5y,Train,5.85
2e7f,Train,6.1
2e7l,Train,7.54
2e91,Train,6.59
2e92,Train,6.89
2e93,Train,6.96
2e94,Train,8.0
2e95,Train,7.1
2e9u,Train,8.1
2e9v,Train,7.9
2eg7,Train,5.89
2eg8,Train,4.5
2eh8,Train,7.96
2emt,Train,6.7
2epn,Train,7.22
2er0,Train,6.38
2er6,Train,7.22
2er9,Train,7.4
2erz,Train,5.66
2etk,Train,6.82
2etr,Train,6.82
2euk,Train,6.6
2eum,Train,6.7
2evl,Train,6.7
2ewa,Train,7.94
2ewb,Train,6.1
2ews,Train,6.62
2exm,Train,4.11
2ez7,Train,4.36
2f0z,Train,4.77
2f10,Train,3.48
2f14,Train,9.19
2f1g,Train,7.54
2f2h,Train,5.7
2f34,Train,6.89
2f35,Train,5.4
2f5t,Train,5.17
2f6j,Train,5.57
2f6t,Train,4.62
2f7i,Train,7.1
2f7o,Train,7.44
2f7p,Train,6.6
2f80,Train,8.18
2f81,Train,10.52
2f89,Train,6.48
2f8g,Train,8.7
2f8i,Train,7.26
2f94,Train,6.71
2f9b,Train,6.52
2f9k,Train,7.07
2fai,Train,6.24
2fb8,Train,9.8
2fdp,Train,7.59
2ff1,Train,8.21
2ff2,Train,8.21
2fgh,Train,6.55
2fgi,Train,7.34
2fgu,Train,9.18
2fgv,Train,6.12
2fhy,Train,5.96
2fkf,Train,2.92
2fl5,Train,8.74
2flb,Train,5.74
2fle,Train,7.85
2flh,Train,3.97
2flr,Train,6.1
2flu,Train,7.7
2fmb,Train,8.7
2fo4,Train,7.22
2fpz,Train,3.96
2fqo,Train,6.43
2fqt,Train,6.14
2fqw,Train,6.68
2fqx,Train,7.15
2fqy,Train,6.57
2fr3,Train,8.7
2fr8,Train,3.15
2fsa,Train,5.3
2fsv,Train,4.6
2fts,Train,7.05
2fu8,Train,4.7
2fvd,Test,8.52
2fw6,Train,2.92
2fwp,Train,2.92
2fx6,Train,3.7
2fx7,Train,7.7
2fx8,Train,6.52
2fx9,Train,7.77
2fxs,Test,6.06
2fxu,Train,8.15
2fxv,Train,5.35
2fys,Train,4.36
2fzc,Train,2.7
2fzg,Train,3.38
2fzk,Train,3.6
2fzz,Train,10.52
2g00,Train,9.74
2g2r,Train,7.89
2g5u,Train,8.49
2g6q,Train,5.82
2g70,Train,7.77
2g71,Train,7.46
2g72,Train,6.5
2g78,Train,6.92
2g79,Train,6.92
2g8n,Train,7.2
2g8r,Train,3.99
2g94,Train,9.52
2g96,Train,4.28
2g97,Train,6.82
2g9q,Train,6.4
2gej,Train,6.64
2gek,Train,7.52
2gfa,Train,4.98
2gfd,Train,6.28
2gh9,Train,6.0
2gj5,Train,8.32
2gkl,Train,5.35
2gl0,Train,4.82
2glm,Train,5.37
2glp,Train,5.01
2gmk,Train,3.23
2gph,Train,5.3
2gss,Train,4.94
2gst,Train,6.07
2gsu,Train,3.59
2gv6,Train,7.34
2gv7,Train,7.85
2gvd,Train,7.0
2gvj,Train,9.52
2gvv,Train,3.9
2gyi,Train,7.0
2gz2,Train,5.22
2gzl,Train,4.82
2h13,Train,5.35
2h15,Train,5.67
2h21,Train,6.54
2h23,Train,4.67
2h2d,Train,5.37
2h2g,Train,5.04
2h2h,Train,4.98
2h2j,Train,5.38
2h3e,Train,5.7
2h4g,Train,6.52
2h4k,Train,5.49
2h4n,Train,8.7
2h5a,Train,5.1
2h5e,Train,8.25
2h6b,Train,5.39
2h6k,Train,5.06
2h6q,Train,5.11
2h6t,Train,7.22
2h9m,Train,4.46
2h9n,Train,3.94
2h9p,Train,3.72
2ha2,Train,4.66
2ha3,Train,3.03
2ha4,Train,2.7
2ha5,Train,4.34
2ha6,Train,4.32
2ha7,Train,3.36
2hah,Train,8.0
2haw,Train,4.92
2hb1,Test,3.8
2hb3,Train,11.35
2hd6,Train,7.8
2hds,Train,2.0
2hdu,Train,2.3
2hdx,Train,6.26
2hf8,Train,5.47
2hh5,Train,7.49
2hhn,Train,7.49
2hj4,Train,5.37
2hjb,Train,4.39
2hkf,Train,6.38
2hl4,Train,7.64
2hmh,Train,7.15
2hmu,Train,7.7
2hmv,Train,7.7
2hmw,Train,7.7
2hnc,Train,7.22
2hnx,Train,7.08
2hoc,Train,9.52
2hpa,Train,4.6
2hqu,Train,5.14
2hr6,Train,4.82
2hrm,Train,3.56
2hrp,Train,8.3
2hs1,Train,8.48
2hs2,Train,8.31
2hu6,Train,3.81
2hvc,Train,8.82
2hw2,Train,2.97
2hwg,Train,3.55
2hxm,Train,5.22
2hzl,Train,6.57
2hzy,Train,7.39
2i0a,Train,11.4
2i0e,Train,8.7
2i0g,Train,9.72
2i0j,Train,8.57
2i19,Train,7.8
2i2b,Train,2.44
2i2c,Train,4.7
2i3h,Train,7.4
2i3i,Train,7.3
2i3v,Train,6.55
2i3z,Train,8.7
2i4d,Train,11.68
2i4j,Train,6.16
2i4p,Train,5.7
2i4t,Train,9.0
2i4u,Train,11.57
2i4v,Train,11.2
2i4w,Train,11.59
2i4x,Train,11.72
2i4z,Train,5.7
2i6b,Train,7.17
2i80,Train,5.4
2idk,Train,5.54
2idw,Train,8.89
2ien,Train,9.0
2ieo,Train,8.49
2ig0,Train,4.71
2igv,Train,2.23
2ihj,Train,4.59
2ihq,Train,8.49
2iko,Train,5.45
2iku,Train,7.1
2il2,Train,7.1
2ima,Train,6.52
2imd,Train,8.3
2ioa,Train,5.49
2ipo,Train,5.06
2isc,Train,8.42
2isv,Train,7.43
2isw,Train,7.43
2itk,Train,7.69
2itp,Train,7.95
2itt,Train,8.77
2itz,Train,8.59
2iu0,Train,6.89
2iuz,Train,5.55
2iv9,Train,4.34
2ivu,Train,6.43
2ivz,Train,6.04
2iw4,Train,9.3
2iws,Train,6.36
2iwu,Train,5.92
2iwx,Test,6.68
2iyf,Train,3.75
2izl,Train,6.0
2izx,Train,9.4
2j27,Train,3.52
2j2u,Train,7.33
2j34,Train,7.82
2j3q,Train,6.15
2j47,Train,5.41
2j4g,Train,6.6
2j4i,Train,9.0
2j4k,Train,4.85
2j4q,Train,4.46
2j62,Train,11.34
2j75,Train,6.65
2j77,Train,4.89
2j78,Test,6.42
2j79,Train,5.96
2j7b,Train,6.62
2j7d,Train,7.13
2j7e,Train,7.32
2j7f,Train,6.35
2j7g,Train,7.0
2j7h,Test,7.19
2j94,Train,6.27
2j95,Train,8.4
2j9h,Train,3.39
2j9l,Train,4.0
2j9n,Train,4.7
2jb5,Train,9.22
2jb6,Train,10.96
2jbj,Train,9.7
2jbk,Train,6.4
2jdh,Train,6.51
2jdk,Train,6.54
2jdm,Train,5.4
2jdn,Train,5.56
2jdp,Train,6.6
2jds,Train,8.2
2jdu,Train,6.72
2jdv,Train,8.2
2jdy,Train,4.37
2jew,Train,6.69
2jf4,Train,8.15
2jfh,Train,3.06
2jfz,Train,5.24
2jg0,Train,7.82
2jg8,Train,6.3
2jgs,Train,6.62
2jh0,Train,8.7
2jh5,Train,6.44
2jh6,Train,7.77
2jiw,Train,4.59
2jj3,Train,9.55
2jjb,Train,7.92
2jk7,Train,7.17
2jk9,Train,6.82
2jke,Train,4.23
2jkh,Train,8.05
2jkp,Train,4.23
2jkr,Train,6.07
2jxr,Train,7.05
2kce,Train,6.17
2mas,Train,7.52
2mpa,Train,8.04
2nm1,Train,7.47
2nmx,Train,5.57
2nmy,Train,8.37
2nmz,Train,8.37
2nn1,Train,5.82
2nn7,Train,6.52
2nn8,Train,3.59
2nnd,Train,6.06
2nng,Train,5.36
2nnk,Train,8.37
2nno,Train,6.4
2nnp,Train,8.37
2nnq,Train,8.7
2nns,Train,6.05
2nnv,Train,7.52
2np9,Train,5.57
2nsj,Train,4.79
2nsl,Train,4.68
2nt7,Train,6.52
2nta,Train,4.8
2nw4,Train,8.68
2nwl,Train,8.7
2nwn,Train,6.3
2nxd,Train,5.66
2nxl,Train,6.27
2nxm,Train,5.19
2o0u,Train,5.49
2o1c,Train,4.72
2o1v,Train,5.3
2o2u,Train,6.4
2o3z,Train,5.7
2o4h,Train,6.52
2o4j,Train,10.1
2o4k,Train,10.46
2o4l,Train,9.22
2o4n,Train,7.82
2o4p,Train,10.72
2o4r,Train,9.4
2o4s,Train,10.51
2o4z,Train,6.25
2o7e,Train,6.22
2o8h,Train,7.6
2o9j,Train,6.92
2o9k,Train,4.11
2o9v,Train,3.54
2oag,Train,8.47
2oax,Train,8.65
2oaz,Train,8.7
2obf,Train,8.85
2oc2,Train,8.52
2oc4,Train,7.07
2oc9,Train,7.96
2oei,Train,3.91
2ogy,Train,4.48
2ohl,Train,3.05
2oi0,Train,7.55
2oi2,Train,6.3
2oiq,Train,5.0
2ojg,Train,5.64
2oji,Train,7.07
2ojj,Train,8.7
2ok1,Train,6.26
2olb,Train,5.54
2ole,Train,7.25
2on3,Train,9.0
2on6,Train,6.76
2onb,Train,5.57
2ony,Train,6.68
2onz,Train,8.89
2op9,Train,5.66
2opb,Train,8.74
2opy,Train,4.52
2oqi,Train,8.49
2oqv,Train,8.4
2or9,Train,6.3
2osf,Train,3.83
2osm,Train,6.2
2ot1,Train,4.0
2ov4,Train,4.74
2ovq,Train,7.15
2ovv,Train,7.92
2ovy,Train,8.4
2ovz,Train,7.89
2oxd,Train,6.82
2oxn,Train,7.44
2oxx,Train,6.7
2oxy,Train,6.52
2oyk,Train,5.3
2oyl,Train,6.3
2oym,Train,5.0
2oz5,Train,6.48
2oz6,Train,5.26
2oz7,Train,7.85
2p09,Train,6.35
2p0d,Train,7.0
2p15,Test,10.3
2p16,Train,10.1
2p1c,Train,7.68
2p2a,Train,6.12
2p3a,Train,7.96
2p3b,Train,8.48
2p3c,Train,7.62
2p3d,Train,6.74
2p3i,Train,3.48
2p4j,Train,8.96
2p4s,Train,9.51
2p4y,Test,9.0
2p53,Train,7.46
2p7a,Train,6.1
2p7g,Train,6.53
2p7z,Train,6.58
2p8n,Train,3.15
2p93,Train,8.82
2p94,Train,9.17
2p95,Train,9.37
2pbw,Train,8.25
2pcp,Train,8.7
2peh,Train,5.96
2pem,Train,3.64
2pfy,Train,6.52
2pgz,Train,5.74
2ph9,Train,5.89
2phb,Train,9.49
2pk5,Train,10.7
2pk6,Train,10.89
2pl0,Train,7.21
2pl9,Train,4.17
2pmc,Train,4.19
2pmk,Train,5.92
2pnc,Train,3.33
2pnx,Train,5.1
2pog,Test,9.54
2pou,Train,7.42
2pov,Train,7.12
2pow,Train,7.2
2pq9,Train,8.11
2pqb,Train,7.2
2pqc,Train,5.74
2pqj,Train,8.2
2pql,Train,7.28
2pqz,Train,5.67
2pr9,Train,7.37
2pri,Train,2.91
2prj,Train,4.49
2psj,Train,7.7
2psu,Train,7.62
2psv,Train,7.24
2ptz,Train,7.82
2pu0,Train,7.82
2pu1,Train,5.85
2pu2,Train,4.43
2puy,Train,4.52
2pv1,Train,7.14
2pv2,Train,5.91
2pvh,Train,6.59
2pvj,Train,8.1
2pvk,Train,8.3
2pvl,Train,7.62
2pvm,Train,6.44
2pvn,Train,9.46
2pvu,Train,6.31
2pwc,Train,6.57
2pwd,Train,4.4
2pwg,Train,4.82
2pwr,Train,6.59
2py4,Train,6.7
2pyi,Train,3.75
2pym,Train,6.82
2pyn,Train,7.57
2pyy,Train,4.6
2pze,Train,6.08
2q11,Train,6.05
2q15,Train,7.96
2q1q,Train,8.15
2q2a,Train,7.41
2q2c,Train,6.38
2q2n,Train,6.48
2q38,Train,5.23
2q54,Train,9.01
2q55,Train,8.69
2q5k,Train,11.3
2q63,Train,7.18
2q64,Train,8.52
2q6f,Train,5.44
2q70,Train,8.08
2q7o,Train,7.92
2q7q,Train,5.3
2q7y,Train,4.3
2q80,Train,4.6
2q88,Train,5.8
2q89,Train,6.3
2q8h,Train,3.0
2q8m,Train,4.03
2q8y,Train,3.99
2q8z,Train,5.68
2q9y,Train,4.44
2qbp,Test,8.4
2qbq,Test,7.44
2qbr,Test,6.33
2qbs,Train,6.68
2qbu,Train,6.19
2qbw,Train,7.25
2qbx,Train,5.22
2qci,Train,8.34
2qd6,Train,8.68
2qd7,Train,9.1
2qd8,Train,9.07
2qdt,Train,5.19
2qe4,Test,7.96
2qfo,Train,4.7
2qft,Train,5.26
2qfu,Train,4.18
2qg0,Train,5.72
